Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using FROBENIUS NORMALIZATION

============================================================
Training MLP Wide (v17 - Frobenius normalized)
Parameters: 5,288,352
Batch size: 64
============================================================

  chunk 75 final batch loss = 0.272640
  chunk 76 final batch loss = 0.256962
  chunk 77 final batch loss = 0.466273
  chunk 78 final batch loss = 0.799573
  chunk 79 final batch loss = 0.654532
Validation loss: 0.499866
Saved BEST checkpoint
Epoch 9
  chunk 0 final batch loss = 0.809762
  chunk 1 final batch loss = 0.807826
  chunk 2 final batch loss = 0.459751
  chunk 3 final batch loss = 0.355115
  chunk 4 final batch loss = 0.765308
  chunk 5 final batch loss = 0.548119
  chunk 6 final batch loss = 0.275542
  chunk 7 final batch loss = 0.495982
  chunk 8 final batch loss = 0.398847
  chunk 9 final batch loss = 0.660765
  chunk 10 final batch loss = 0.487395
  chunk 11 final batch loss = 0.825930
  chunk 12 final batch loss = 0.765735
  chunk 13 final batch loss = 0.744031
  chunk 14 final batch loss = 0.442249
  chunk 15 final batch loss = 0.335417
  chunk 16 final batch loss = 0.336925
  chunk 17 final batch loss = 0.450898
  chunk 18 final batch loss = 0.674665
  chunk 19 final batch loss = 0.264488
  chunk 20 final batch loss = 0.818862
  chunk 21 final batch loss = 0.676806
  chunk 22 final batch loss = 0.839659
  chunk 23 final batch loss = 0.715347
  chunk 24 final batch loss = 0.779343
  chunk 25 final batch loss = 0.350774
  chunk 26 final batch loss = 0.809384
  chunk 27 final batch loss = 0.232232
  chunk 28 final batch loss = 0.277595
  chunk 29 final batch loss = 0.813201
  chunk 30 final batch loss = 0.349059
  chunk 31 final batch loss = 0.345886
  chunk 32 final batch loss = 0.753371
  chunk 33 final batch loss = 0.282012
  chunk 34 final batch loss = 0.446278
  chunk 35 final batch loss = 0.809310
  chunk 36 final batch loss = 0.742575
  chunk 37 final batch loss = 0.512008
  chunk 38 final batch loss = 0.273852
  chunk 39 final batch loss = 0.829392
  chunk 40 final batch loss = 0.301631
  chunk 41 final batch loss = 0.741324
  chunk 42 final batch loss = 0.279961
  chunk 43 final batch loss = 0.815060
  chunk 44 final batch loss = 0.406288
  chunk 45 final batch loss = 0.795464
  chunk 46 final batch loss = 0.303971
  chunk 47 final batch loss = 0.273949
  chunk 48 final batch loss = 0.332697
